,price_usd_t,source
2017-04-30,53400.54436430486,EST_REMX
2017-05-31,53902.34786410245,EST_REMX
2017-06-30,54318.76583195745,EST_REMX
2017-07-31,62907.85883363558,EST_REMX
2017-08-31,65813.40148411413,EST_REMX
2017-09-30,70478.29034545811,EST_REMX
2017-10-31,72817.20389126168,EST_REMX
2017-11-30,75296.70643207754,EST_REMX
2017-12-31,79745.9433654947,EST_REMX
2018-01-31,80507.59633041508,EST_REMX
2018-02-28,79674.92226192103,EST_REMX
2018-03-31,75663.83027646894,EST_REMX
2018-04-30,74713.45958390077,EST_REMX
2018-05-31,71676.10557033576,EST_REMX
2018-06-30,66822.50297254266,EST_REMX
2018-07-31,64733.716898627616,EST_REMX
2018-08-31,60818.30838545822,EST_REMX
2018-09-30,61000.78233516643,EST_REMX
2018-10-31,56058.56719748671,EST_REMX
2018-11-30,57527.62821484999,EST_REMX
2018-12-31,50369.4399517041,EST_REMX
2019-01-31,52949.97018374728,EST_REMX
2019-02-28,56155.98620213175,EST_REMX
2019-03-31,55612.217211173556,EST_REMX
2019-04-30,52267.99506336266,EST_REMX
2019-05-31,54085.1043833817,EST_REMX
2019-06-30,54349.06881732666,EST_REMX
2019-07-31,50841.156572956366,EST_REMX
2019-08-31,46926.5520181283,EST_REMX
2019-09-30,48028.208656281466,EST_REMX
2019-10-31,47466.14630644928,EST_REMX
2019-11-30,47951.752016052495,EST_REMX
2019-12-31,50604.18682036603,EST_REMX
2020-01-31,47840.51446475593,EST_REMX
2020-02-29,44216.814017506535,EST_REMX
2020-03-31,39789.30353278017,EST_REMX
2020-04-30,42784.521758331735,EST_REMX
2020-05-31,44977.954025751715,EST_REMX
2020-06-30,45280.63229116058,EST_REMX
2020-07-31,50410.48039338773,EST_REMX
2020-08-31,51224.95106587679,EST_REMX
2020-09-30,48409.7557497483,EST_REMX
2020-10-31,50604.18682036603,EST_REMX
2020-11-30,62426.410613216285,EST_REMX
2020-12-31,70724.22577444058,EST_REMX
2021-01-31,76629.29420487022,EST_REMX
2021-02-28,82798.19494608372,EST_REMX
2021-03-31,77181.85495973955,EST_REMX
2021-04-30,80470.88516932465,EST_REMX
2021-05-31,82931.35435245733,EST_REMX
2021-06-30,83913.4311257968,EST_REMX
2021-07-31,98998.44305526228,EST_REMX
2021-08-31,104771.24559760989,EST_REMX
2021-09-30,95602.98434097927,EST_REMX
2021-10-31,104670.39518822604,EST_REMX
2021-11-30,107441.277049778,EST_REMX
2021-12-31,104776.87311861766,EST_REMX
2022-01-31,98037.09305208326,EST_REMX
2022-02-28,103880.32246658693,EST_REMX
2022-03-31,108553.6787491645,EST_REMX
2022-04-30,93928.03638846203,EST_REMX
2022-05-31,98218.02914355703,EST_REMX
2022-06-30,88229.75269382712,EST_REMX
2022-07-31,92070.22000463652,EST_REMX
2022-08-31,94527.92049070836,EST_REMX
2022-09-30,85851.0246703434,EST_REMX
2022-10-31,87321.79986886636,EST_REMX
2022-11-30,93445.42827832412,EST_REMX
2022-12-31,81617.3729850953,EST_REMX
2023-01-31,94817.0289934682,EST_REMX
2023-02-28,87757.93531368634,EST_REMX
2023-03-31,85464.11020139063,EST_REMX
2023-04-30,84005.23722208328,EST_REMX
2023-05-31,83792.76732037286,EST_REMX
2023-06-30,62559.290000000015,REAL_SMM
2023-07-31,65587.49999999999,REAL_SMM
2023-08-31,68443.45999999996,REAL_SMM
2023-09-30,70864.96000000002,REAL_SMM
2023-10-31,69735.1,REAL_SMM
2023-11-30,67558.10999999994,REAL_SMM
2023-12-31,62175.94999999996,REAL_SMM
2024-01-31,55431.289999999986,REAL_SMM
2024-02-29,50321.60999999998,REAL_SMM
2024-03-31,48860.61000000003,REAL_SMM
2024-04-30,55550.2,REAL_SMM
2024-05-31,50863.580000000045,REAL_SMM
2024-06-30,49812.69000000002,REAL_SMM
2024-07-31,50647.24000000001,REAL_SMM
2024-08-31,57324.29999999999,REAL_SMM
2024-09-30,60858.56000000002,REAL_SMM
2024-10-31,59313.73000000002,REAL_SMM
2024-11-30,56958.280000000035,REAL_SMM
2024-12-31,54396.109999999964,REAL_SMM
2025-01-31,57007.84000000001,REAL_SMM
2025-02-28,60723.759999999966,REAL_SMM
2025-03-31,61097.98000000004,REAL_SMM
2025-04-30,56357.729999999974,REAL_SMM
2025-05-31,60778.45999999996,REAL_SMM
2025-06-30,61886.52999999997,REAL_SMM
2025-07-31,73285.72000000003,REAL_SMM
2025-08-31,83555.92000000006,REAL_SMM
2025-09-30,78696.04999999999,REAL_SMM
2025-10-31,74484.50000000001,REAL_SMM
2025-11-30,79772.99999999996,REAL_SMM
2025-12-31,86524.20000000003,REAL_SMM
2026-01-31,107441.22000000002,REAL_SMM
2026-02-28,129469.61000000003,REAL_SMM
2026-03-31,104159.1499999999,REAL_SMM
2026-04-30,112560.10000000002,REAL_SMM
2026-05-31,101165.4299999999,REAL_SMM
2026-06-30,109163.91000000008,REAL_SMM
